episode,step,state,action,next_state,reward,path_feature,denormalized_path_feature,path_features,denormalized_path_features
2,6,176,0,177,-0.19753456115722656,"[-0.5918367505073547, -0.40403875708580017, -1.0, -0.7599999904632568, -1.0, -0.8947368264198303, -0.5151515007019043, -1.0, -1.0, -1.0, -1.0, -1.0]","[10, 942, 0, 3, 0, 1, 8, 0, 0, 0, 0, 1]","[-0.59183675 -0.40403876 -1.         -0.76       -1.         -0.8947368
 -0.5151515  -1.         -1.         -1.         -1.         -1.        ]",[ 10 942   0   3   0   1   8   0   0   0   0   1]
2,7,177,0,189,-0.14388146996498108,"[-0.6326530575752258, -0.4364655315876007, -1.0, -0.7599999904632568, -1.0, -0.8947368264198303, -0.5757575631141663, -1.0, -1.0, -1.0, -1.0, -1.0]","[9, 891, 0, 3, 0, 1, 7, 0, 0, 0, 0, 1]","[-0.63265306 -0.43646553 -1.         -0.76       -1.         -0.8947368
 -0.57575756 -1.         -1.         -1.         -1.         -1.        ]",[  9 891   0   3   0   1   7   0   0   0   0   1]
2,8,189,1,190,-0.4288635849952698,"[-0.6734693646430969, -0.48096975684165955, -1.0, -0.8399999737739563, -1.0, -0.8947368264198303, -0.6363636255264282, -1.0, -1.0, -1.0, -1.0, -1.0]","[8, 821, 0, 2, 0, 1, 6, 0, 0, 0, 0, 1]","[-0.67346936 -0.48096976 -1.         -0.84       -1.         -0.8947368
 -0.6363636  -1.         -1.         -1.         -1.         -1.        ]",[  8 821   0   2   0   1   6   0   0   0   0   1]
2,9,190,0,211,-0.19635295867919922,"[-0.7142857313156128, -0.49871695041656494, -1.0, -0.8399999737739563, -1.0, -0.8947368264198303, -0.6969696879386902, -1.0, -1.0, -1.0, -1.0, -1.0]","[7, 793, 0, 2, 0, 1, 5, 0, 0, 0, 0, 1]","[-0.71428573 -0.49871695 -1.         -0.84       -1.         -0.8947368
 -0.6969697  -1.         -1.         -1.         -1.         -1.        ]",[  7 793   0   2   0   1   5   0   0   0   0   1]
2,10,211,1,202,-0.2657032012939453,"[-0.7551020383834839, -0.5833121538162231, -1.0, -0.9200000166893005, -1.0, -0.8947368264198303, -0.7575757503509521, -1.0, -1.0, -1.0, -1.0, -1.0]","[6, 659, 0, 1, 0, 1, 4, 0, 0, 0, 0, 1]","[-0.75510204 -0.58331215 -1.         -0.92       -1.         -0.8947368
 -0.75757575 -1.         -1.         -1.         -1.         -1.        ]",[  6 659   0   1   0   1   4   0   0   0   0   1]
2,11,202,0,235,-0.3983680009841919,"[-0.795918345451355, -0.6668298244476318, -1.0, -0.9200000166893005, -1.0, -0.8947368264198303, -0.8181818127632141, -1.0, -1.0, -1.0, -1.0, -1.0]","[5, 527, 0, 1, 0, 1, 3, 0, 0, 0, 0, 1]","[-0.79591835 -0.6668298  -1.         -0.92       -1.         -0.8947368
 -0.8181818  -1.         -1.         -1.         -1.         -1.        ]",[  5 527   0   1   0   1   3   0   0   0   0   1]
2,12,235,1,245,-0.5094544291496277,"[-0.8367347121238708, -0.7455118298530579, -1.0, -1.0, -1.0, -0.8947368264198303, -0.8787878751754761, -1.0, -1.0, -1.0, -1.0, -1.0]","[4, 402, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1]","[-0.8367347  -0.74551183 -1.         -1.         -1.         -0.8947368
 -0.8787879  -1.         -1.         -1.         -1.         -1.        ]",[  4 402   0   0   0   1   2   0   0   0   0   1]
2,13,245,0,239,-0.033086128532886505,"[-0.8775510191917419, -0.8268636465072632, -1.0, -1.0, -1.0, -0.8947368264198303, -0.939393937587738, -1.0, -1.0, -1.0, -1.0, -1.0]","[3, 274, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[-0.877551   -0.82686365 -1.         -1.         -1.         -0.8947368
 -0.93939394 -1.         -1.         -1.         -1.         -1.        ]",[  3 274   0   0   0   1   1   0   0   0   0   1]
2,14,239,0,241,0.18925198912620544,"[-0.918367326259613, -0.8987812995910645, -1.0, -1.0, -1.0, -0.8947368264198303, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[2, 160, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[-0.9183673 -0.8987813 -1.        -1.        -1.        -0.8947368
 -1.        -1.        -1.        -1.        -1.        -1.       ]",[  2 160   0   0   0   1   0   0   0   0   0   1]
2,15,241,0,242,1.6382989883422852,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.],[0 0 0 0 0 0 0 0 0 0 0 1]
