Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward,Possible Action 3,Action 3 Next State,Action 3 Reward
1,14,154,0,4,0.7609192728996277,0,4,0.7609192728996277,,,,,,
2,0,48,1,45,1.224090814590454,0,44,1.1172235012054443,1,45,1.224090814590454,,,
2,1,45,2,43,1.4714301824569702,0,42,1.5102037191390991,1,41,1.5658552646636963,2,43,1.4714301824569702
2,2,43,0,38,1.1500321626663208,0,38,1.1500321626663208,1,37,1.2116527557373047,,,
2,3,38,1,36,1.2020971775054932,0,35,1.197261095046997,1,36,1.2020971775054932,,,
2,4,36,2,248,1.5010778903961182,0,247,1.4412245750427246,1,249,1.501185655593872,2,248,1.5010778903961182
2,5,248,1,30,1.2021994590759277,0,31,1.1713030338287354,1,30,1.2021994590759277,,,
2,6,30,0,237,1.174359917640686,0,237,1.174359917640686,1,236,1.1518256664276123,,,
2,7,237,1,233,1.185107946395874,0,232,1.1255725622177124,1,233,1.185107946395874,,,
2,8,233,1,234,1.2129721641540527,0,235,1.1721020936965942,1,234,1.2129721641540527,,,
2,9,234,0,200,0.7691714763641357,0,200,0.7691714763641357,,,,,,
2,10,200,1,208,1.1884324550628662,0,209,1.1235979795455933,1,208,1.1884324550628662,,,
2,11,208,1,145,1.203691840171814,0,144,1.1542898416519165,1,145,1.203691840171814,,,
2,12,145,1,146,1.2007758617401123,0,147,1.1057170629501343,1,146,1.2007758617401123,,,
2,13,146,0,148,0.7595428228378296,0,148,0.7595428228378296,,,,,,
2,14,148,0,227,0.7566537857055664,0,227,0.7566537857055664,,,,,,
2,15,227,2,151,1.4699046611785889,0,149,1.4386560916900635,1,150,1.4992790222167969,2,151,1.4699046611785889
2,16,151,0,152,0.7567383050918579,0,152,0.7567383050918579,,,,,,
2,17,152,1,154,1.1881656646728516,0,153,1.1052205562591553,1,154,1.1881656646728516,,,
2,18,154,0,4,0.7609192728996277,0,4,0.7609192728996277,,,,,,
3,0,48,1,45,1.224090814590454,0,44,1.1172235012054443,1,45,1.224090814590454,,,
3,1,45,2,43,1.4714301824569702,0,42,1.5102037191390991,1,41,1.5658552646636963,2,43,1.4714301824569702
3,2,43,0,38,1.1500321626663208,0,38,1.1500321626663208,1,37,1.2116527557373047,,,
3,3,38,1,36,1.2020971775054932,0,35,1.197261095046997,1,36,1.2020971775054932,,,
3,4,36,2,248,1.5010778903961182,0,247,1.4412245750427246,1,249,1.501185655593872,2,248,1.5010778903961182
3,5,248,1,30,1.2021994590759277,0,31,1.1713030338287354,1,30,1.2021994590759277,,,
3,6,30,0,237,1.174359917640686,0,237,1.174359917640686,1,236,1.1518256664276123,,,
3,7,237,1,233,1.185107946395874,0,232,1.1255725622177124,1,233,1.185107946395874,,,
3,8,233,1,234,1.2129721641540527,0,235,1.1721020936965942,1,234,1.2129721641540527,,,
3,9,234,0,200,0.7691714763641357,0,200,0.7691714763641357,,,,,,
3,10,200,1,208,1.1884324550628662,0,209,1.1235979795455933,1,208,1.1884324550628662,,,
3,11,208,1,145,1.203691840171814,0,144,1.1542898416519165,1,145,1.203691840171814,,,
