osmid,y,x,street_count,highway,geometry,neighbors
250708051,37.9836523,23.7312812,3,,POINT (23.7312812 37.9836523),[250700341]
250708099,37.9827909,23.7319847,3,,POINT (23.7319847 37.9827909),[250708051]
250708522,37.9842915,23.7348571,3,,POINT (23.7348571 37.9842915),"[364104825, 250708556]"
250708556,37.9839097,23.7351894,4,,POINT (23.7351894 37.9839097),[250699973]
250708641,37.9834614,23.7343073,4,,POINT (23.7343073 37.9834614),"[250708556, 250706958]"
250709162,37.9814219,23.7342104,3,,POINT (23.7342104 37.9814219),"[250699359, 250699612, 11271557478]"
250709582,37.9793654,23.7321624,3,,POINT (23.7321624 37.9793654),[250691668]
250712701,37.9855988,23.7333508,4,,POINT (23.7333508 37.9855988),[250706959]
250713331,37.9900724,23.7353794,3,,POINT (23.7353794 37.9900724),"[569850326, 97788855]"
250713539,37.98517,23.7313805,3,,POINT (23.7313805 37.98517),[250700085]
250714050,37.985374,23.7297355,4,,POINT (23.7297355 37.985374),"[95663422, 250714051]"
250714051,37.983919,23.7293833,5,,POINT (23.7293833 37.983919),"[262236447, 250700142]"
250714052,37.9859556,23.7298764,4,,POINT (23.7298764 37.9859556),"[250714050, 3731648988]"
250720871,37.9843255,23.7268306,4,,POINT (23.7268306 37.9843255),"[250720872, 7214467394]"
250720872,37.9845367,23.7255609,4,,POINT (23.7255609 37.9845367),"[250720873, 250663746]"
250720873,37.9846551,23.7248487,3,,POINT (23.7248487 37.9846551),[95663389]
250921080,37.9856175,23.7242961,3,,POINT (23.7242961 37.9856175),"[635138660, 95663389]"
262236447,37.9844092,23.7282236,3,,POINT (23.7282236 37.9844092),"[95663423, 250720871]"
300398465,37.9863298,23.7273229,5,,POINT (23.7273229 37.9863298),"[962356671, 95663385, 95663420]"
300400248,37.9812841,23.7360784,3,,POINT (23.7360784 37.9812841),[8446047162]
300400470,37.9795354,23.7359852,4,traffic_signals,POINT (23.7359852 37.9795354),"[653971685, 250691755]"
300401174,37.9789556,23.73796,4,,POINT (23.73796 37.9789556),[250691753]
300401270,37.9783093,23.7377161,4,,POINT (23.7377161 37.9783093),"[250691739, 250692062]"
300401271,37.9786664,23.7374206,4,,POINT (23.7374206 37.9786664),"[300401174, 300401270]"
300401360,37.9792015,23.7370139,3,,POINT (23.7370139 37.9792015),"[250691753, 300401271]"
358464012,37.9910136,23.7356042,4,,POINT (23.7356042 37.9910136),[569850326]
358464018,37.9910813,23.7351706,3,,POINT (23.7351706 37.9910813),[358464012]
358464027,37.9911588,23.73468,3,,POINT (23.73468 37.9911588),"[358464159, 358464018]"
358464040,37.9912669,23.7340774,4,,POINT (23.7340774 37.9912669),"[625958232, 358464027]"
358464049,37.9914268,23.7330412,3,,POINT (23.7330412 37.9914268),"[358464174, 358464040]"
358464159,37.9907396,23.7345787,3,,POINT (23.7345787 37.9907396),[97797081]
358464166,37.9908411,23.7339711,4,,POINT (23.7339711 37.9908411),"[358464040, 358464159]"
358464174,37.9910137,23.7329366,4,,POINT (23.7329366 37.9910137),"[97797093, 358464166]"
358464177,37.9916285,23.7323822,4,,POINT (23.7323822 37.9916285),"[2878357812, 516020362]"
358464212,37.9915406,23.732304,4,,POINT (23.732304 37.9915406),"[358464177, 358464049]"
358464213,37.9911364,23.7322008,4,,POINT (23.7322008 37.9911364),"[358464212, 358464174]"
358465186,37.9920746,23.7313195,3,,POINT (23.7313195 37.9920746),"[358465410, 6910572379]"
358465410,37.9922744,23.7300269,4,,POINT (23.7300269 37.9922744),[635122963]
358465904,37.9902757,23.7287445,3,,POINT (23.7287445 37.9902757),"[635126478, 95663394]"
358465939,37.9916387,23.7290582,3,,POINT (23.7290582 37.9916387),[]
358465943,37.99269,23.7326721,3,,POINT (23.7326721 37.99269),[]
359096435,37.9891868,23.7360856,4,,POINT (23.7360856 37.9891868),"[1303525204, 97792973]"
363357735,37.9832153,23.7288925,3,,POINT (23.7288925 37.9832153),"[250714051, 250700142]"
364104825,37.9841488,23.7346288,3,,POINT (23.7346288 37.9841488),"[364104830, 250706958]"
364104830,37.9850609,23.7339253,4,,POINT (23.7339253 37.9850609),[250712701]
388172051,37.9843766,23.7326199,3,,POINT (23.7326199 37.9843766),[388172082]
388172055,37.984045,23.7331594,3,,POINT (23.7331594 37.984045),"[388172075, 388172051]"
388172056,37.9836516,23.7336753,3,,POINT (23.7336753 37.9836516),"[388172055, 250700083]"
388172075,37.9844929,23.7334805,4,,POINT (23.7334805 37.9844929),"[4464395361, 250700339]"
388172082,37.9846272,23.7330888,3,,POINT (23.7330888 37.9846272),"[250700339, 388172083]"
388172083,37.984987,23.7321942,3,,POINT (23.7321942 37.984987),[250700085]
515962403,37.9912906,23.7312765,4,,POINT (23.7312765 37.9912906),"[4056070360, 5921003579, 358464213]"
516020343,37.9915271,23.7329792,3,,POINT (23.7329792 37.9915271),"[516020349, 358464177]"
516020349,37.9920971,23.7325336,3,,POINT (23.7325336 37.9920971),[358465943]
516020362,37.9917193,23.7318478,3,,POINT (23.7318478 37.9917193),"[8207556731, 5581434217]"
516020524,37.9864606,23.7299917,4,,POINT (23.7299917 37.9864606),"[962356679, 250714052]"
569850326,37.9901202,23.7353908,4,,POINT (23.7353908 37.9901202),"[97797086, 250713331]"
597677303,37.9894966,23.7306793,4,,POINT (23.7306793 37.9894966),"[97788202, 961530639]"
599116897,37.9824431,23.7336127,3,,POINT (23.7336127 37.9824431),"[250699711, 250699613]"
625958232,37.9913526,23.7340988,3,,POINT (23.7340988 37.9913526),[516020343]
631608665,37.9911134,23.7356301,3,,POINT (23.7356301 37.9911134),"[625958232, 358464012]"
633562896,37.9883075,23.7242178,3,,POINT (23.7242178 37.9883075),[97834824]
633562897,37.9874281,23.724221,3,,POINT (23.724221 37.9874281),"[633562896, 7248584892]"
633562902,37.9869554,23.7229805,4,,POINT (23.7229805 37.9869554),[95663419]
635122963,37.9926739,23.7301271,3,,POINT (23.7301271 37.9926739),"[635122988, 635122964]"
635122964,37.9924741,23.7314192,3,,POINT (23.7314192 37.9924741),[358465186]
635122988,37.9927852,23.7301518,3,,POINT (23.7301518 37.9927852),[]
635126478,37.9912319,23.7289639,3,,POINT (23.7289639 37.9912319),"[358465939, 635126483]"
635126483,37.9911613,23.729754,3,,POINT (23.729754 37.9911613),[97788471]
635132981,37.9885834,23.7267009,3,,POINT (23.7267009 37.9885834),[635132991]
635132991,37.9886266,23.726401,3,,POINT (23.726401 37.9886266),[95663474]
635138660,37.9852643,23.724206,3,,POINT (23.724206 37.9852643),[]
635442926,37.9896917,23.7356693,3,,POINT (23.7356693 37.9896917),[250713331]
653971685,37.9792474,23.7354357,3,,POINT (23.7354357 37.9792474),"[653971690, 250691724]"
653971690,37.9799327,23.7348434,3,,POINT (23.7348434 37.9799327),[250698924]
663798587,37.9856916,23.7316134,3,,POINT (23.7316134 37.9856916),[250713539]
688786344,37.9870356,23.7269458,3,,POINT (23.7269458 37.9870356),"[962356738, 962356785]"
807999510,37.9784184,23.7322178,3,,POINT (23.7322178 37.9784184),[7127124359]
844627879,37.9862947,23.7252346,3,,POINT (23.7252346 37.9862947),"[95663418, 95663375]"
954712407,37.9761678,23.7360978,4,,POINT (23.7360978 37.9761678),"[250691827, 2511789008, 6220792258]"
954712428,37.9758298,23.7357623,3,,POINT (23.7357623 37.9758298),"[250691847, 7384331753]"
961484809,37.9920319,23.7320958,2,,POINT (23.7320958 37.9920319),[]
961530639,37.9891989,23.7306058,3,,POINT (23.7306058 37.9891989),[97788213]
961530806,37.9892924,23.7303329,3,,POINT (23.7303329 37.9892924),"[597677303, 961530639]"
962356608,37.9865524,23.7271435,3,,POINT (23.7271435 37.9865524),"[962356671, 300398465]"
962356657,37.9872173,23.7267556,4,,POINT (23.7267556 37.9872173),"[95663472, 31179466]"
962356671,37.9863805,23.7269891,3,,POINT (23.7269891 37.9863805),[95663492]
962356674,37.9880446,23.7282268,3,,POINT (23.7282268 37.9880446),[95663392]
962356679,37.986675,23.7286444,4,,POINT (23.7286444 37.986675),"[95663454, 95663426]"
962356738,37.9872972,23.72701,3,,POINT (23.72701 37.9872972),[3879024943]
962356740,37.9873279,23.7265063,3,,POINT (23.7265063 37.9873279),"[97834761, 31179466]"
962356785,37.987173,23.7268008,4,,POINT (23.7268008 37.987173),"[962356738, 962356657]"
962356840,37.9878474,23.7282446,3,,POINT (23.7282446 37.9878474),"[962356674, 95663464]"
962356923,37.9871311,23.7267319,4,,POINT (23.7267319 37.9871311),"[962356785, 962356608]"
1003481221,37.9830717,23.725807,3,,POINT (23.725807 37.9830717),[7214467394]
1303525204,37.9896263,23.7357192,3,,POINT (23.7357192 37.9896263),[635442926]
2511789008,37.9761034,23.7357956,4,,POINT (23.7357956 37.9761034),"[250691827, 7384331753]"
2878357812,37.9919489,23.7324856,3,,POINT (23.7324856 37.9919489),"[516020349, 961484809]"
3339821648,37.9768844,23.7358882,3,,POINT (23.7358882 37.9768844),"[250691794, 250691723]"
3731648988,37.9858092,23.7307639,4,,POINT (23.7307639 37.9858092),"[250714050, 250713539]"
3879024939,37.9874638,23.7272465,3,,POINT (23.7272465 37.9874638),"[95663461, 3879024943, 95663433]"
3879024943,37.9874066,23.7271499,3,,POINT (23.7271499 37.9874066),"[3879024939, 962356657]"
4056070360,37.9915948,23.7319461,3,,POINT (23.7319461 37.9915948),[358464212]
4464395361,37.9847125,23.73366,1,,POINT (23.73366 37.9847125),[388172075]
